2022/8/18 11:45: HTTP server online.
2022/8/18 11:58: 3508: 127.0.0.1: GET /client.js
2022/8/18 11:58: 3508: 127.0.0.1: 200 OK
2022/8/18 11:58: 2776: 127.0.0.1: GET /static/pcm-recorder.js
2022/8/18 11:58: 2776: 127.0.0.1: 200 OK
2022/8/18 11:58: 2788: 127.0.0.1: GET /static/socket.io.js/socket.io.js
2022/8/18 11:58: 2788: 127.0.0.1: 200 OK
2022/8/18 11:58: 4084: 127.0.0.1: GET /static/pcm-player.js
2022/8/18 11:58: 4084: 127.0.0.1: 200 OK
2022/8/18 11:58: 3508: 127.0.0.1: GET /static/dist/recorder-core.js
2022/8/18 11:58: 3508: 127.0.0.1: 200 OK
2022/8/18 11:58: 3812: 127.0.0.1: GET /static/dist/engine/mp3.js
2022/8/18 11:58: 3812: 127.0.0.1: 200 OK
2022/8/18 11:58: 2756: 127.0.0.1: GET /audio/notify.m4a
2022/8/18 11:58: 2756: 127.0.0.1: 206 OK
2022/8/18 11:58: 3584: 127.0.0.1: GET /static/layer/theme/default/layer.css?v=3.5.1
2022/8/18 11:58: 3584: 127.0.0.1: 200 OK
2022/8/18 11:58: 3584: 127.0.0.1: GET /e61d8459-ee9b-4e19-9875-cb6cfc7ec62a.woff
2022/8/18 11:58: 3584: 127.0.0.1: 200 OK
2022/8/18 11:58: 3960: 127.0.0.1: GET /favicon.ico
2022/8/18 11:58: 3960: 127.0.0.1: 200 OK
2022/8/18 16:07: HTTP server online.
2022/8/18 16:34: 1168: 127.0.0.1: GET /
2022/8/18 16:34: 1168: 127.0.0.1: 401 Unauthorized
2022/8/18 16:34: 1220: 127.0.0.1: GET /
2022/8/18 16:34: 1220: 127.0.0.1: 401 Unauthorized
2022/8/18 16:34: 1224: 127.0.0.1: GET /
2022/8/18 16:34: 1224: 127.0.0.1: 200 OK
2022/8/18 16:34: 992: 127.0.0.1: GET /schemes/atelier-dune.css
2022/8/18 16:34: 992: 127.0.0.1: 200 OK
2022/8/18 16:34: 1220: 127.0.0.1: GET /style.css
2022/8/18 16:34: 1220: 127.0.0.1: 200 OK
2022/8/18 16:34: 1224: 127.0.0.1: GET /vendor/katex/katex.min.css
2022/8/18 16:34: 1224: 127.0.0.1: 200 OK
2022/8/18 16:34: 1252: 127.0.0.1: GET /vendor/hljs/styles/hybrid.min.css
2022/8/18 16:34: 1252: 127.0.0.1: 200 OK
2022/8/18 16:34: 1256: 127.0.0.1: GET /vendor/katex/katex.min.js
2022/8/18 16:34: 1256: 127.0.0.1: 200 OK
2022/8/18 16:34: 1280: 127.0.0.1: GET /vendor/remarkable-katex/remarkableKatex.min.js
2022/8/18 16:34: 1280: 127.0.0.1: 200 OK
2022/8/18 16:34: 1224: 127.0.0.1: GET /vendor/hljs/highlight.min.js
2022/8/18 16:34: 1224: 127.0.0.1: 200 OK
2022/8/18 16:34: 1252: 127.0.0.1: GET /vendor/remarkable/remarkable.min.js
2022/8/18 16:34: 1252: 127.0.0.1: 200 OK
2022/8/18 16:34: 1292: 127.0.0.1: GET /static/auth.js
2022/8/18 16:34: 1292: 127.0.0.1: 200 OK
2022/8/18 16:34: 1204: 127.0.0.1: GET /jquery.min.js
2022/8/18 16:34: 1204: 127.0.0.1: 200 OK
2022/8/18 16:34: 1196: 127.0.0.1: GET /static/layer/layer.js
2022/8/18 16:34: 1196: 127.0.0.1: 200 OK
2022/8/18 16:34: 796: 127.0.0.1: GET /static/dplayer/DPlayer.min.js
2022/8/18 16:34: 796: 127.0.0.1: 200 OK
2022/8/18 16:34: 1296: 127.0.0.1: GET /client.js
2022/8/18 16:34: 1296: 127.0.0.1: 200 OK
2022/8/18 16:34: 1252: 127.0.0.1: GET /static/pcm-recorder.js
2022/8/18 16:34: 1252: 127.0.0.1: 200 OK
2022/8/18 16:34: 1288: 127.0.0.1: GET /static/socket.io.js/socket.io.js
2022/8/18 16:34: 1288: 127.0.0.1: 200 OK
2022/8/18 16:34: 1292: 127.0.0.1: GET /static/pcm-player.js
2022/8/18 16:34: 1292: 127.0.0.1: 200 OK
2022/8/18 16:34: 1204: 127.0.0.1: GET /static/dist/recorder-core.js
2022/8/18 16:34: 1204: 127.0.0.1: 200 OK
2022/8/18 16:34: 796: 127.0.0.1: GET /audio/notify.m4a
2022/8/18 16:34: 796: 127.0.0.1: 200 OK
2022/8/18 16:34: 796: 127.0.0.1: GET /static/layer/theme/default/layer.css?v=3.5.1
2022/8/18 16:34: 796: 127.0.0.1: 200 OK
2022/8/18 16:34: 1204: 127.0.0.1: GET /e61d8459-ee9b-4e19-9875-cb6cfc7ec62a.woff
2022/8/18 16:34: 1204: 127.0.0.1: 200 OK
2022/8/18 16:34: 1204: 127.0.0.1: GET /favicon.ico
2022/8/18 16:34: 1204: 127.0.0.1: 200 OK
2022/8/18 16:34: 1336: 127.0.0.1: GET /?xq102210
2022/8/18 16:34: 1336: 127.0.0.1: 200 OK
2022/8/18 16:34: 1336: 127.0.0.1: GET /static/dist/engine/mp3.js
2022/8/18 16:34: 1336: 127.0.0.1: 200 OK
2022/8/18 16:34: 1292: 127.0.0.1: GET /vendor/katex/fonts/KaTeX_Main-Regular.woff2
